广东频道,#genre#
CCTV-5+,http://121.29.111.83:8888/rtp/239.253.92.82:8013
CCTV-5+,http://116.28.125.24:7777/rtp/239.77.1.147:5146
CCTV-5+,http://123.113.237.160:8888/rtp/239.3.1.130:8004
CCTV-5+,http://27.10.75.98:8001/rtp/225.0.4.73:7980
CCTV-5+,http://118.113.179.38:4022/rtp/239.93.1.36:8004
CCTV-5+,http://114.243.106.85:8888/rtp/239.3.1.130:8004
CCTV-6,http://sweetown.fun:4000/rtp/239.3.1.174:8001$1920x1080
CCTV-6,http://118.79.7.119:6001/rtp/226.0.2.210:9592$1920x1080
CCTV-6,http://171.125.90.130:6000/rtp/226.0.2.210:9592$1920x1080
CCTV-6,http://xeace.cn:8888/rtp/239.93.1.13:2226$1920x1080
CCTV-6,http://60.186.200.183:8888/rtp/233.50.201.198:5140$1920x1080
CCTV-6,http://27.10.215.110:8005/rtp/225.0.4.144:7980$1920x1080
CCTV-6,http://171.116.226.246:8084/rtp/226.0.2.23:8096$720x576
CCTV-6,http://171.116.226.246:8085/rtp/226.0.2.23:8096$720x576
CCTV-6,http://118.79.7.119:6001/rtp/226.0.2.23:8096$720x576
CCTV-6,http://171.125.90.130:6000/rtp/226.0.2.23:8096$720x576
CCTV-6,http://60.186.200.183:8888/rtp/233.50.201.18:5140$720x576
CCTV-6,http://180.124.225.131:3000/rtp/239.49.9.33:6000
CCTV-6,http://180.124.225.131:3000/rtp/239.49.1.6:6000
CCTV-6,http://115.150.15.242:5566/rtp/239.252.220.195:5140
CCTV-6,http://118.183.212.29:6868/rtp/239.255.29.14:8231
CCTV-7,http://101.27.106.176:8888/rtp/239.253.92.194:6059$1920x1080
CCTV-7,http://171.116.226.246:8085/rtp/226.0.2.159:9184$1920x1080
CCTV-7,http://219.145.19.38:5555/rtp/239.112.205.83:5140$1920x1080
CCTV-7,http://61.188.254.218:9527/rtp/239.93.1.67:5140$1920x1080
CCTV-7,http://27.10.215.110:8005/rtp/225.0.4.127:7980$1920x1080
CCTV-7,http://60.186.200.183:8888/rtp/233.50.201.120:5140$1920x1080
CCTV-7,http://171.125.90.130:6000/rtp/226.0.2.24:8104$720x576
CCTV-7,http://60.186.200.183:8888/rtp/233.50.201.7:5140$720x576
CCTV-7,http://171.116.226.246:8085/rtp/226.0.2.24:8104$720x576
CCTV-7,http://171.116.226.246:8084/rtp/226.0.2.24:8104$720x576
CCTV-7,http://180.124.225.131:3000/rtp/239.49.8.132:6000
CCTV-7,http://180.124.225.131:3000/rtp/239.49.1.254:6000
CCTV-7,http://115.150.15.242:5566/rtp/239.252.220.185:5140
CCTV-7,http://118.183.212.29:6868/rtp/239.255.30.178:8231
CCTV-7,http://171.116.151.33:8084/rtp/226.0.2.159:9184
CCTV-8,http://60.7.56.33:4000/rtp/239.253.92.195:6060$1920x1080
CCTV-8,http://171.125.90.130:6000/rtp/226.0.2.211:9600$1920x1080
CCTV-8,http://60.186.200.183:8888/rtp/233.50.201.199:5140$1920x1080
CCTV-8,http://27.10.215.110:8005/rtp/225.0.4.137:7980$1920x1080
CCTV-8,http://171.116.226.246:8084/rtp/226.0.2.25:8112$720x576
CCTV-8,http://171.116.226.246:8085/rtp/226.0.2.25:8112$720x576
CCTV-8,http://171.116.151.33:8084/rtp/226.0.2.25:8112$720x576
CCTV-8,http://60.186.200.183:8888/rtp/233.50.201.19:5140$720x576
CCTV-8,http://171.125.90.130:6000/rtp/226.0.2.25:8112$720x576
CCTV-8,http://118.81.35.18:8005/rtp/226.0.2.25:8112$720x576
CCTV-8,http://180.124.225.131:3000/rtp/239.49.9.34:6000
CCTV-8,http://180.124.225.131:3000/rtp/239.49.1.8:6000
CCTV-8,http://115.150.15.242:5566/rtp/239.252.220.196:5140
CCTV-8,http://118.183.212.29:6868/rtp/239.255.29.15:8231
CCTV-8,http://171.116.151.33:8084/rtp/226.0.2.211:9600
CCTV-9,http://171.116.226.246:8085/rtp/226.0.2.161:9200$1920x1080
CCTV-9,http://171.125.90.130:6000/rtp/226.0.2.161:9200$1920x1080
CCTV-9,http://219.145.19.38:5555/rtp/239.112.205.85:5140$1920x1080
CCTV-9,http://118.81.35.18:8005/rtp/226.0.2.161:9200$1920x1080
CCTV-9,http://27.10.215.110:8005/rtp/225.0.4.131:7980$1920x1080
CCTV-9,http://171.116.151.33:8084/rtp/226.0.2.26:8120$720x576
CCTV-9,http://171.116.226.246:8084/rtp/226.0.2.26:8120$720x576
CCTV-9,http://171.125.90.130:6000/rtp/226.0.2.26:8120$720x576
CCTV-9,http://171.116.226.246:8085/rtp/226.0.2.26:8120$720x576
CCTV-9,http://180.124.225.131:3000/rtp/239.49.8.133:6000
CCTV-9,http://115.150.15.242:5566/rtp/239.252.220.186:5140
CCTV-9,http://118.183.212.29:6868/rtp/239.255.30.180:8231
CCTV-9,http://171.116.151.33:8084/rtp/226.0.2.161:9200
CCTV-9,http://171.116.151.33:8084/rtp/226.0.2.26:8120
CCTV-9,http://118.79.7.119:6001/rtp/226.0.2.161:9200
CCTV-10,http://60.7.56.33:4000/rtp/239.253.92.196:6061$1920x1080
CCTV-10,http://61.188.254.218:9527/rtp/239.93.1.28:5140$1920x1080
CCTV-10,http://27.10.215.110:8005/rtp/225.0.4.130:7980$1920x1080
CCTV-10,http://60.186.200.183:8888/rtp/233.50.201.10:5140$720x576
CCTV-10,http://171.116.226.246:8085/rtp/226.0.2.27:8128$720x576
CCTV-10,http://118.81.35.18:8005/rtp/226.0.2.27:8128$720x576
CCTV-10,http://180.124.225.131:3000/rtp/239.49.8.134:6000
CCTV-10,http://180.124.225.131:3000/rtp/239.49.1.10:6000
CCTV-10,http://115.150.15.242:5566/rtp/239.252.220.91:5140
CCTV-10,http://118.183.212.29:6868/rtp/239.255.30.181:8231
CCTV-10,http://171.116.151.33:8084/rtp/226.0.2.162:9208
CCTV-10,http://171.116.151.33:8084/rtp/226.0.2.27:8128
CCTV-10,http://118.79.7.119:6001/rtp/226.0.2.162:9208
CCTV-10,http://118.79.7.119:6001/rtp/226.0.2.27:8128
CCTV-10,http://171.116.226.246:8085/rtp/226.0.2.162:9208
