Name: 大湾区卫视, URL: http://116.28.124.174:8520/rtp/239.77.0.215:5146, Date: 2024-10-03, Resolution: None, Response Time: 281 ms
Name: 大湾区卫视, URL: http://116.28.124.174:8520/rtp/239.77.1.12:5146, Date: 2024-10-03, Resolution: None, Response Time: 281 ms
Name: 大湾区卫视, URL: http://113.119.195.184:9999/rtp/239.77.0.215:5146, Date: 2024-10-03, Resolution: None, Response Time: 342 ms
Name: 大湾区卫视, URL: http://113.119.195.184:9999/rtp/239.77.1.12:5146, Date: 2024-10-03, Resolution: None, Response Time: 342 ms
Name: 江门侨乡生活, URL: http://14.154.189.185:4022/rtp/239.77.0.202:5146$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 64 ms
Name: 江门侨乡生活, URL: http://113.119.195.184:9999/rtp/239.77.0.202:5146$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 228 ms
Name: 江门侨乡生活, URL: http://113.119.195.184:9999/rtp/239.77.0.202:5146$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 232 ms
Name: 江门侨乡生活, URL: http://116.28.124.174:8520/rtp/239.77.0.202:5146$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 266 ms
Name: 江门侨乡生活, URL: http://116.28.124.174:8520/rtp/239.77.0.202:5146$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 292 ms
Name: 江门侨乡生活, URL: http://113.110.220.255:8888/rtp/239.77.0.196:5146, Date: 2024-10-05, Resolution: None, Response Time: 113 ms
Name: 江门侨乡生活, URL: http://113.110.220.255:8888/rtp/239.77.0.202:5146, Date: 2024-10-05, Resolution: None, Response Time: 113 ms
Name: 江门侨乡生活, URL: http://14.154.189.185:4022/rtp/239.77.0.196:5146, Date: 2024-10-05, Resolution: None, Response Time: 141 ms
Name: 江门侨乡生活, URL: http://14.154.189.185:4022/rtp/239.77.0.202:5146, Date: 2024-10-05, Resolution: None, Response Time: 141 ms
Name: 江门侨乡生活, URL: http://116.28.124.174:8520/rtp/239.77.0.196:5146, Date: 2024-10-03, Resolution: None, Response Time: 281 ms
Name: 江门侨乡生活, URL: http://116.28.124.174:8520/rtp/239.77.0.202:5146, Date: 2024-10-03, Resolution: None, Response Time: 281 ms
Name: 江门侨乡生活, URL: http://113.119.195.184:9999/rtp/239.77.0.196:5146, Date: 2024-10-03, Resolution: None, Response Time: 342 ms
Name: 江门侨乡生活, URL: http://113.119.195.184:9999/rtp/239.77.0.202:5146, Date: 2024-10-03, Resolution: None, Response Time: 342 ms
Name: 佛山综合, URL: http://113.110.220.255:8888/rtp/239.253.43.57:5146$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 0 ms
Name: 佛山综合, URL: http://14.154.189.185:4022/rtp/239.253.43.57:5146$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 80 ms
Name: 佛山综合, URL: http://116.28.124.174:8520/rtp/239.253.43.57:5146$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 132 ms
Name: 佛山综合, URL: http://116.28.124.174:8520/rtp/239.253.43.57:5146$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 179 ms
Name: 佛山综合, URL: http://113.119.195.184:9999/rtp/239.253.43.57:5146$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 259 ms
Name: 佛山综合, URL: http://113.119.195.184:9999/rtp/239.253.43.57:5146$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 310 ms
Name: 佛山综合, URL: http://113.110.220.255:8888/rtp/239.253.43.52:5146, Date: 2024-10-05, Resolution: None, Response Time: 113 ms
Name: 佛山综合, URL: http://113.110.220.255:8888/rtp/239.253.43.57:5146, Date: 2024-10-05, Resolution: None, Response Time: 113 ms
Name: 佛山综合, URL: http://14.154.189.185:4022/rtp/239.253.43.52:5146, Date: 2024-10-05, Resolution: None, Response Time: 141 ms
Name: 佛山综合, URL: http://14.154.189.185:4022/rtp/239.253.43.57:5146, Date: 2024-10-05, Resolution: None, Response Time: 141 ms
Name: 佛山综合, URL: http://116.28.124.174:8520/rtp/239.253.43.52:5146, Date: 2024-10-03, Resolution: None, Response Time: 281 ms
Name: 佛山综合, URL: http://116.28.124.174:8520/rtp/239.253.43.57:5146, Date: 2024-10-03, Resolution: None, Response Time: 281 ms
Name: 佛山综合, URL: http://113.119.195.184:9999/rtp/239.253.43.52:5146, Date: 2024-10-03, Resolution: None, Response Time: 342 ms
Name: 佛山综合, URL: http://113.119.195.184:9999/rtp/239.253.43.57:5146, Date: 2024-10-03, Resolution: None, Response Time: 342 ms
Name: 佛山公共, URL: http://113.119.195.184:9999/rtp/239.253.43.53:5146$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 111 ms
Name: 佛山公共, URL: http://14.154.189.185:4022/rtp/239.253.43.53:5146$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 160 ms
Name: 佛山公共, URL: http://116.28.124.174:8520/rtp/239.253.43.53:5146$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 168 ms
Name: 佛山公共, URL: http://116.28.124.174:8520/rtp/239.253.43.53:5146$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 171 ms
Name: 佛山公共, URL: http://113.110.220.255:8888/rtp/239.253.43.53:5146$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 192 ms
Name: 佛山公共, URL: http://113.110.220.255:8888/rtp/239.253.43.48:5146, Date: 2024-10-05, Resolution: None, Response Time: 113 ms
Name: 佛山公共, URL: http://113.110.220.255:8888/rtp/239.253.43.53:5146, Date: 2024-10-05, Resolution: None, Response Time: 113 ms
Name: 佛山公共, URL: http://14.154.189.185:4022/rtp/239.253.43.48:5146, Date: 2024-10-05, Resolution: None, Response Time: 141 ms
Name: 佛山公共, URL: http://14.154.189.185:4022/rtp/239.253.43.53:5146, Date: 2024-10-05, Resolution: None, Response Time: 141 ms
Name: 佛山公共, URL: http://116.28.124.174:8520/rtp/239.253.43.48:5146, Date: 2024-10-03, Resolution: None, Response Time: 281 ms
Name: 佛山公共, URL: http://116.28.124.174:8520/rtp/239.253.43.53:5146, Date: 2024-10-03, Resolution: None, Response Time: 281 ms
Name: 佛山公共, URL: http://113.119.195.184:9999/rtp/239.253.43.48:5146, Date: 2024-10-03, Resolution: None, Response Time: 342 ms
Name: 佛山公共, URL: http://113.119.195.184:9999/rtp/239.253.43.53:5146, Date: 2024-10-03, Resolution: None, Response Time: 342 ms
Name: 佛山影视, URL: http://116.28.124.174:8520/rtp/239.253.43.56:5146$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 140 ms
Name: 佛山影视, URL: http://116.28.124.174:8520/rtp/239.253.43.56:5146$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 159 ms
Name: 佛山影视, URL: http://113.119.195.184:9999/rtp/239.253.43.56:5146$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 160 ms
Name: 佛山影视, URL: http://14.154.189.185:4022/rtp/239.253.43.56:5146$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 202 ms
Name: 佛山影视, URL: http://113.119.195.184:9999/rtp/239.253.43.56:5146$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 228 ms
Name: 佛山影视, URL: http://113.110.220.255:8888/rtp/239.253.43.51:5146, Date: 2024-10-05, Resolution: None, Response Time: 113 ms
Name: 佛山影视, URL: http://113.110.220.255:8888/rtp/239.253.43.56:5146, Date: 2024-10-05, Resolution: None, Response Time: 113 ms
Name: 佛山影视, URL: http://14.154.189.185:4022/rtp/239.253.43.51:5146, Date: 2024-10-05, Resolution: None, Response Time: 141 ms
Name: 佛山影视, URL: http://14.154.189.185:4022/rtp/239.253.43.56:5146, Date: 2024-10-05, Resolution: None, Response Time: 141 ms
Name: 佛山影视, URL: http://116.28.124.174:8520/rtp/239.253.43.51:5146, Date: 2024-10-03, Resolution: None, Response Time: 281 ms
Name: 佛山影视, URL: http://116.28.124.174:8520/rtp/239.253.43.56:5146, Date: 2024-10-03, Resolution: None, Response Time: 281 ms
Name: 佛山影视, URL: http://113.119.195.184:9999/rtp/239.253.43.51:5146, Date: 2024-10-03, Resolution: None, Response Time: 342 ms
Name: 佛山影视, URL: http://113.119.195.184:9999/rtp/239.253.43.56:5146, Date: 2024-10-03, Resolution: None, Response Time: 342 ms
Name: 深圳卫视, URL: http://27.10.75.229:8007/rtp/225.0.4.202:7980$1920x1080, Date: 2024-10-02, Resolution: 1920x1080, Response Time: 2 ms
Name: 深圳卫视, URL: http://220.188.227.244:9999/rtp/233.50.201.101:5140$1920x1080, Date: 2024-10-04, Resolution: 1920x1080, Response Time: 12 ms
Name: 深圳卫视, URL: http://171.118.210.238:8083/rtp/226.0.2.147:9088$1920x1080, Date: 2024-10-03, Resolution: 1920x1080, Response Time: 26 ms
Name: 深圳卫视, URL: http://60.220.167.130:8083/rtp/226.0.2.147:9088$1920x1080, Date: 2024-10-03, Resolution: 1920x1080, Response Time: 40 ms
Name: 深圳卫视, URL: http://219.145.19.118:5554/rtp/239.112.205.67:5140$1920x1080, Date: 2024-10-05, Resolution: 1920x1080, Response Time: 44 ms
Name: 深圳卫视, URL: http://219.145.19.118:5555/rtp/239.112.205.67:5140$1920x1080, Date: 2024-09-01, Resolution: 1920x1080, Response Time: 48 ms
Name: 深圳卫视, URL: http://14.109.140.24:10000/rtp/235.254.198.71:1560$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 48 ms
Name: 深圳卫视, URL: http://60.220.167.85:8082/rtp/226.0.2.147:9088$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 56 ms
Name: 深圳卫视, URL: http://61.188.254.218:9527/rtp/239.93.0.182:5140$1920x1080, Date: 2024-10-02, Resolution: 1920x1080, Response Time: 63 ms
Name: 深圳卫视, URL: http://183.130.6.35:8889/rtp/233.50.201.101:5140$1920x1080, Date: 2024-10-02, Resolution: 1920x1080, Response Time: 66 ms
Name: 深圳卫视, URL: http://60.220.167.85:8082/rtp/226.0.2.147:9088$1920x1080, Date: 2024-10-03, Resolution: 1920x1080, Response Time: 67 ms
Name: 深圳卫视, URL: http://60.220.167.241:8083/rtp/226.0.2.147:9088$1920x1080, Date: 2024-06-28, Resolution: 1920x1080, Response Time: 68 ms
Name: 深圳卫视, URL: http://1.82.70.88:8014/rtp/239.112.205.67:5140$1920x1080, Date: 2024-10-04, Resolution: 1920x1080, Response Time: 71 ms
Name: 深圳卫视, URL: http://1.82.70.88:8010/rtp/239.112.205.67:5140$1920x1080, Date: 2024-10-04, Resolution: 1920x1080, Response Time: 74 ms
Name: 深圳卫视, URL: http://171.116.36.42:8082/rtp/226.0.2.147:9088$1920x1080, Date: 2024-10-03, Resolution: 1920x1080, Response Time: 92 ms
Name: 深圳卫视, URL: http://27.11.49.234:8004/rtp/225.0.4.202:7980$1920x1080, Date: 2024-09-12, Resolution: 1920x1080, Response Time: 102 ms
Name: 深圳卫视, URL: http://118.79.115.210:6000/rtp/226.0.2.147:9088$1920x1080, Date: 2024-10-01, Resolution: 1920x1080, Response Time: 103 ms
Name: 深圳卫视, URL: http://171.127.71.107:8084/rtp/226.0.2.147:9088$1920x1080, Date: 2024-10-03, Resolution: 1920x1080, Response Time: 126 ms
Name: 深圳卫视, URL: http://27.10.134.196:8003/rtp/225.0.4.202:7980$1920x1080, Date: 2024-09-09, Resolution: 1920x1080, Response Time: 134 ms
Name: 深圳卫视, URL: http://27.10.77.52:8007/rtp/225.0.4.202:7980$1920x1080, Date: 2024-10-02, Resolution: 1920x1080, Response Time: 142 ms
Name: 深圳卫视, URL: http://27.11.49.234:8003/rtp/225.0.4.202:7980$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 154 ms
